GNPSLinkout_Cluster,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27828"",""main.cluster index_upperinput"":""27828""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=467&task=818684bc2ef44996a6257df861bb9695&show=true,4-PYRIDOXATE,0.987023,1.4594,1.4594,0,CCMSLIB00000577940,18823.58026,172,27828,467,172,184.0606,1,184.0606,18823.58026,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27730"",""main.cluster index_upperinput"":""27730""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1505&task=818684bc2ef44996a6257df861bb9695&show=true,L-Histidinol,0.986828,12.1021,12.1021,0,CCMSLIB00003443718,17788.36025,172,27730,1505,172,142.0976,1,142.0976,17788.36025,"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""36672"",""main.cluster index_upperinput"":""36672""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=369&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-D-glucosamine,0.986146,8.8336,8.8336,0,CCMSLIB00003194566,1936.195864,172,36672,369,172,204.0868,1,204.0868,1936.195864,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19012"",""main.cluster index_upperinput"":""19012""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Tetraethylene glycol,0.985072,1.0256,1.0256,0,CCMSLIB00003441001,1351.040391,172,19012,117,172,195.1491,1,195.1491,1351.040391,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""762"",""main.cluster index_upperinput"":""762""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=446&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to N.alpha.-Acetyl-L-lysine from NIST14,0.983498,11.6304,11.6304,0,CCMSLIB00003135001,13657.90266,172,762,446,172,189.1235,1,189.1235,13657.90266,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1083"",""main.cluster index_upperinput"":""1083""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,ADENOSINE,0.982936,3.6619,3.6619,0,CCMSLIB00000578029,20854.20255,172,1083,141,172,268.1041,1,268.1041,20854.20255,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4848"",""main.cluster index_upperinput"":""4848""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,L-ARGININE,0.982597,18.3544,18.3544,0,CCMSLIB00000577958,3211.213661,172,4848,133,172,175.119,1,175.119,3211.213661,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""28268"",""main.cluster index_upperinput"":""28268""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,L-ARGININE,0.982597,18.3369,18.3369,0,CCMSLIB00000577958,3076.150167,172,28268,133,172,175.119,1,175.119,3076.150167,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1803"",""main.cluster index_upperinput"":""1803""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to N-Acetyl-L-glutamic acid from NIST14,0.98256,10.9414,10.9414,0,CCMSLIB00003138157,2728.678097,172,1803,120,172,190.0711,1,190.0711,2728.678097,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6711"",""main.cluster index_upperinput"":""6711""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=467&task=818684bc2ef44996a6257df861bb9695&show=true,4-PYRIDOXATE,0.981854,1.2847,1.2847,0,CCMSLIB00000577940,33556.00284,172,6711,467,172,184.0606,1,184.0606,33556.00284,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27290"",""main.cluster index_upperinput"":""27290""}",This Node is a Singleton,Spectral Match to L-Histidine from NIST14,0.98177,17.2024,17.2024,0,CCMSLIB00003136727,2272.625835,172,27290,-1,172,156.077,1,156.077,2272.625835,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""720"",""main.cluster index_upperinput"":""720""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Nicotinamide riboside cation,0.980151,10.7265,10.7265,0,CCMSLIB00003374455,55610.48513,172,720,141,172,255.0978,1,255.0978,55610.48513,"InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2307"",""main.cluster index_upperinput"":""2307""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1712&task=818684bc2ef44996a6257df861bb9695&show=true,Thymine,0.980091,1.878,1.878,0,CCMSLIB00003350294,8981.396502,172,2307,1712,172,127.0504,1,127.0504,8981.396502,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""38852"",""main.cluster index_upperinput"":""38852""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,ADENOSINE,0.979873,3.6994,3.6994,0,CCMSLIB00000578029,20217.14739,172,38852,141,172,268.1041,1,268.1041,20217.14739,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21421"",""main.cluster index_upperinput"":""21421""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Tyr-Ile,0.978681,6.2976,6.2976,0,CCMSLIB00003737828,1710.212825,172,21421,141,172,295.1658,1,295.1658,1710.212825,"InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""113606"",""main.cluster index_upperinput"":""113606""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Nicotinamide riboside cation,0.978534,10.7119,10.7119,0,CCMSLIB00003374455,52972.67898,172,113606,141,172,255.0977,1,255.0977,52972.67898,"InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""50021"",""main.cluster index_upperinput"":""50021""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1505&task=818684bc2ef44996a6257df861bb9695&show=true,L-Histidinol,0.97841,12.8866,12.8866,0,CCMSLIB00003443718,52757.52792,172,50021,1505,172,142.0977,1,142.0977,52757.52792,"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3742"",""main.cluster index_upperinput"":""3742""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1712&task=818684bc2ef44996a6257df861bb9695&show=true,Thymine,0.978033,1.6062,1.6062,0,CCMSLIB00003350294,5392.531546,172,3742,1712,172,127.0504,1,127.0504,5392.531546,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""32"",""main.cluster index_upperinput"":""32""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=426&task=818684bc2ef44996a6257df861bb9695&show=true,Cytidine 3'-monophosphate,0.977794,5.0432,5.0432,0,CCMSLIB00003389275,566837.4055,172,32,426,172,112.0509,1,112.0509,566837.4055,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-6(14)7(4(3-13)19-8)20-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6?,7?,8-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""31210"",""main.cluster index_upperinput"":""31210""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=426&task=818684bc2ef44996a6257df861bb9695&show=true,Cytidine 3'-monophosphate,0.977476,5.3684,5.3684,0,CCMSLIB00003389275,458542.3317,172,31210,426,172,112.0509,1,112.0509,458542.3317,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-6(14)7(4(3-13)19-8)20-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6?,7?,8-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""8492"",""main.cluster index_upperinput"":""8492""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=623&task=818684bc2ef44996a6257df861bb9695&show=true,DETHIOBIOTIN,0.976897,2.3967,2.3967,0,CCMSLIB00000578079,9260.761214,172,8492,623,172,215.1392,1,215.1392,9260.761214,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17552"",""main.cluster index_upperinput"":""17552""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,Arg-Leu,0.976574,11.1478,11.1478,0,CCMSLIB00003736763,9294.435552,172,17552,133,172,288.2032,1,288.2032,9294.435552,N/A
