rowID,rowMZ,rowRT,molecule,cos
19250,173.0781188,1.222904844,"1,4-Cyclohexanedicarboxylic acid as [M+H]+ (173.078) C8H12O4 cos=0.994",0.994
97705,173.0781638,1.356464116,"1,4-Cyclohexanedicarboxylic acid as [M+H]+ (173.078) C8H12O4 cos=0.994",0.994
30305,323.14619,4.238635095,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol as [M+Na]+ (323.146) C15H24O6 cos=0.783",0.783
68112,323.1459342,5.950224822,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol as [M+Na]+ (323.146) C15H24O6 cos=0.838",0.838
3171,454.2919789,6.117861487,1-palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine as [M+H]+ (454.293) C21H44NO7P cos=0.848,0.848
5330,245.0467007,3.357399884,"2,3',4,6-Tetrahydroxybenzophenone as [M-H]- (245.046) C13H10O5 cos=0.729",0.729
93197,189.9817504,3.589917095,"2,6-Dichlorobenzamide as [M+H]+ (189.982) C7H5Cl2NO cos=0.971",0.971
19997,178.1585704,0.504299137,"2,6-diisopropylaniline as [M+H]+ (178.159) C12H19N cos=0.777",0.777
12416,178.1587863,2.055840752,"2,6-diisopropylaniline as [M+H]+ (178.159) C12H19N cos=0.791",0.791
19370,178.1587426,3.100128644,"2,6-diisopropylaniline as [M+H]+ (178.159) C12H19N cos=0.818",0.818
35590,178.1587619,3.023988824,"2,6-diisopropylaniline as [M+H]+ (178.159) C12H19N cos=0.818",0.818
10138,152.0162845,3.646272869,2-Hydroxybenzothiazole as [M+H]+ (152.017) C7H5NOS cos=0.976,0.976
659,269.0736587,0.575019796,"'3(2H)-Pyridazinone, 6-[4-(difluoromethoxy)-3-methoxyphenyl]- [CAS]' as [M+H]+ (269.073) C12H10F2N2O3 cos=0.747",0.747
9158,530.2348675,5.043966638,"3,15-dibenzyl-1,4,12-trimethyl-1,4,7,10,13-pentazacyclopentadecane-2,5,8,11,14-pentone as [M+Na]+ (530.237) C27H33N5O5 cos=0.775",0.775
2737,154.1223513,0.678939532,"3,3-pentamethylene-4-butyrolactam as [M+H]+ (154.123) C9H15NO cos=0.806",0.806
812,363.309721,7.114609509,"3,6,9,12-Tetraoxatetracosan-1-ol as [M+H]+ (363.31) C20H42O5 cos=0.855",0.855
1405,291.1569158,5.680529464,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid as [M+Na]+ (291.157) C15H24O4 cos=0.763,0.763
19904,272.1850939,3.359922805,3-hydroxy-C10-homoserine lactone as [M+H]+ (272.186) C14H25NO4 cos=0.838,0.838
9386,272.1852587,4.551372192,3-hydroxy-C10-homoserine lactone as [M+H]+ (272.186) C14H25NO4 cos=0.853,0.853
11042,272.1852593,4.144818369,3-hydroxy-C10-homoserine lactone as [M+H]+ (272.186) C14H25NO4 cos=0.892,0.892
9176,244.1539667,3.629876601,3-hydroxy-C8-homoserine lactone as [M+H]+ (244.154) C12H21NO4 cos=0.865,0.865
22907,244.153959,3.643741905,3-hydroxy-C8-homoserine lactone as [M+H]+ (244.154) C12H21NO4 cos=0.865,0.865
9556,244.1539268,3.358820034,3-hydroxy-C8-homoserine lactone as [M+H]+ (244.154) C12H21NO4 cos=0.896,0.896
9393,244.1539802,2.694658033,3-hydroxy-C8-homoserine lactone as [M+H]+ (244.154) C12H21NO4 cos=0.901,0.901
15822,190.0859694,2.6499822,3-Indolepropionic acid as [M+H]+ (190.086) C11H11NO2 cos=0.787,0.787
4462,190.0860188,3.133042213,3-Indolepropionic acid as [M+H]+ (190.086) C11H11NO2 cos=0.808,0.808
39521,191.080844,2.149289509,"3-methyl-3,4-dihydro-1H-1,4-benzodiazepine-2,5-dione as [M+H]+ (191.081) C10H10N2O2 cos=0.709",0.709
38482,186.0758801,2.269598473,3-oxo-C4-homoserine lactone as [M+H]+ (186.076) C8H11NO4 cos=0.771,0.771
19442,242.138048,0.763551433,3-oxo-C8-homoserine lactone as [M+H]+ (242.139) C12H19NO4 cos=0.729,0.729
6045,242.1383711,3.880768351,3-oxo-C8-homoserine lactone as [M+H]+ (242.139) C12H19NO4 cos=0.756,0.756
14607,276.1590268,6.078772835,4-(3-cyclopentyloxy-4-methoxyphenyl)pyrrolidin-2-one as [M+H]+ (276.159) C16H21NO3 cos=0.832,0.832
1115,151.0861966,0.393265618,4`-Aminoacetanilide as [M+H]+ (151.087) C8H10N2O cos=0.743,0.743
13978,151.0864258,2.106452741,4`-Aminoacetanilide as [M+H]+ (151.087) C8H10N2O cos=0.939,0.939
14526,246.123332,2.670453059,4-Acetamidoantipyrine as [M+H]+ (246.124) C13H15N3O2 cos=0.720,0.72
986,154.04957,0.633494379,4-Aminosalicylic acid as [M+H]+ (154.05) C7H7NO3 cos=0.756,0.756
233,397.2001492,5.55572511,"4-hydroxy-3-[(2E)-4-hydroxy-3,7-dimethylocta-2,6-dienyl]-5-[(E)-4-hydroxy-3-methylbut-2-enyl]benzoic acid as [M+Na]+ (397.199) C22H30O5 cos=0.777",0.777
48003,136.1119559,2.2830942,4-Isopropylaniline as [M+H]+ (136.112) C9H13N cos=0.793,0.793
37895,136.111957,2.253205979,4-Isopropylaniline as [M+H]+ (136.112) C9H13N cos=0.861,0.861
59422,218.1535723,5.536741872,4'-Methyl-alpha-pyrrolidinopropiophenone as [M+H]+ (218.154) C14H19NO cos=0.817,0.817
9203,294.1672074,4.602442815,4-oxo-4-(3-oxodecan-2-ylamino)butanoic acid as [M+Na]+ (294.168) C14H25NO4 cos=0.909,0.909
19409,184.0590153,0.757418759,4-PYRIDOXATE as [M+H]+ (184.06) C8H9NO4 cos=0.971,0.971
19617,174.054642,7.313742898,4-Quinolinecarboxylic acid as [M+H]+ (174.055) C10H7NO2 cos=0.893,0.893
131,147.0914399,2.551679237,"5,6-Dimethylbenzimidazole as [M+H]+ (147.091) C9H10N2 cos=0.994",0.994
821,411.2529309,7.826990881,"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol as [M-H]- (411.254) C26H36O4 cos=0.788",0.788
81013,411.2529136,8.270914324,"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol as [M-H]- (411.254) C26H36O4 cos=0.850",0.85
31651,401.2309265,5.94158284,"5-[5-(acetyloxymethyl)-1,2,4a-trimethyl-7-oxo-3,4,8,8a-tetrahydro-2H-naphthalen-1-yl]-3-methylpentanoic acid as [M+Na]+ (401.23) C22H34O5 cos=0.783",0.783
1259,385.1639431,6.5241535,"5-hydroxy-7-[2-(2-hydroxy-5-oxo-2H-furan-3-yl)ethyl]-7,8-dimethyl-5,6,6a,8,9,10-hexahydro-1H-benzo[d][2]benzofuran-3-one as [M+Na]+ (385.162) C20H26O6 cos=0.757",0.757
21672,219.1740965,6.89063391,5-hydroxyculmorin as [M-2H2O+H]+ (219.174) C15H26O3 cos=0.772,0.772
1525,219.1740993,6.456361348,5-hydroxyculmorin as [M-2H2O+H]+ (219.174) C15H26O3 cos=0.774,0.774
34316,219.17409,6.309505315,5-hydroxyculmorin as [M-2H2O+H]+ (219.174) C15H26O3 cos=0.774,0.774
585,219.1740739,5.654831801,5-hydroxyculmorin as [M-2H2O+H]+ (219.174) C15H26O3 cos=0.846,0.846
1694,237.1845754,5.292907949,5-hydroxyculmorin as [M-H2O+H]+ (237.184) C15H26O3 cos=0.765,0.765
9904,192.0653646,3.235975714,5-Hydroxyindole-3-acetic acid as [M+H]+ (192.066) C10H9NO3 cos=0.866,0.866
30332,192.0652567,6.351442637,5-Hydroxyindole-3-acetic acid as [M+H]+ (192.066) C10H9NO3 cos=0.867,0.867
30095,192.1016016,6.701541705,5-Methoxytryptophol as [M+H]+ (192.102) C11H13NO2 cos=0.733,0.733
285,298.0963829,2.355687418,5'-METHYLTHIOADENOSINE as [M+H]+ (298.097) C11H15N5O3S cos=0.965,0.965
9486,298.0964442,2.595096832,5'-S-methyl-5'-thioadenosine as [M+H]+ (298.097) C11H15N5O3S cos=0.959,0.959
25144,298.0967544,3.399832066,5'-S-methyl-5'-thioadenosine as [M+H]+ (298.097) C11H15N5O3S cos=0.965,0.965
3856,297.0730851,2.842605587,"6-[2-(1,3-benzodioxol-5-yl)ethyl]-4-methoxypyran-2-one as [M+Na]+ (297.073) C15H14O5 cos=0.717",0.717
45602,297.0727668,2.774110678,"6-[2-(1,3-benzodioxol-5-yl)ethyl]-4-methoxypyran-2-one as [M+Na]+ (297.073) C15H14O5 cos=0.717",0.717
10747,146.0598054,2.645729897,6-Quinolinol as [M+H]+ (146.06) C9H7NO cos=0.935,0.935
4603,146.0598444,3.464160926,6-Quinolinol as [M+H]+ (146.06) C9H7NO cos=0.987,0.987
19806,146.0598496,3.367342588,6-Quinolinol as [M+H]+ (146.06) C9H7NO cos=0.987,0.987
2063,485.1799014,6.255015686,"7-(3,4-dihydroxyphenyl)-1-(4-hydroxyphenyl)-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyheptan-3-one as [M+Na]+ (485.178) C24H30O9 cos=0.921",0.921
70433,255.0657028,2.145272503,"7,2'-Dihydroxyflavone as [M+H]+ (255.065) C15H10O4 cos=0.784",0.784
1255,243.087253,3.467628801,"7,8-dimethylalloxazine (lumichrome) as [M+H]+ (243.088) C12H10N4O2 cos=0.881",0.881
17488,479.1668171,6.745007354,"7-hydroxy-2,6,9,12,17,17-hexamethyl-22-methylidene-5,16,19,21-tetraoxaheptacyclo[10.8.1.1??,?ü?.0??,????.0??,?ü?.0????,???ü?.0???ü?,???ü?]docos-13-ene-4,8,15-trione as [M+Na]+ (479.168) C25H28O8 cos=0.831",0.831
9514,285.1304945,3.370290703,"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid as [M+Na]+ (285.131) C12H22O6 cos=0.852",0.852
19327,303.2309265,7.413682063,Abietic acid - CASMI2016 Category 1 - Challenge 14 as [M+H]+ (303.232) C20H30O2 cos=0.909,0.909
10128,152.0704476,2.310587378,Acetaminophen as [M+H]+ (152.071) C8H9NO2 cos=0.806,0.806
9473,136.06166,2.089237175,Adenine as [M+H]+ (136.062) C5H5N5 cos=0.965,0.965
2070,136.0616559,2.337249108,Adenine as [M+H]+ (136.062) C5H5N5 cos=0.989,0.989
24516,268.1035182,0.848853101,Adenosine as [M+H]+ (268.104) C10H13N5O4 cos=0.964,0.964
15545,203.1385486,1.989390662,Ala-Ile as [M+H]+ (203.139) C9H18N2O3 cos=0.912,0.912
19067,152.1431892,2.410713734,Amantadine as [M+H]+ (152.143) C10H17N cos=0.846,0.846
14580,189.1020316,2.067069515,Antipyrine as [M+H]+ (189.102) C11H12N2O cos=0.870,0.87
2223,255.1746905,7.097128154,bakuchiol as [M-H]- (255.175) C18H24O cos=0.719,0.719
10902,147.080323,4.004912333,Benzylidenacetone as [M+H]+ (147.08) C10H10O cos=0.847,0.847
15688,583.2538557,5.23095235,Biliverdin as [M+H]+ (583.255) C33H34N4O6 cos=0.964,0.964
14055,583.2539538,5.117619858,Biliverdin as [M+H]+ (583.255) C33H34N4O6 cos=0.974,0.974
169,200.12792,3.557484868,C6-homoserine lactone as [M+H]+ (200.128) C10H17NO3 cos=0.858,0.858
41886,200.1280822,0.666345755,C6-homoserine lactone as [M+H]+ (200.128) C10H17NO3 cos=0.879,0.879
1991,200.1278988,3.051909374,C6-homoserine lactone as [M+H]+ (200.128) C10H17NO3 cos=0.916,0.916
9224,228.1590645,4.303767431,C8-homoserine lactone as [M+H]+ (228.159) C12H21NO3 cos=0.751,0.751
1902,228.1591469,4.606390924,C8-homoserine lactone as [M+H]+ (228.159) C12H21NO3 cos=0.811,0.811
356,341.2114539,6.892708111,Canrenone as [M+H]+ (341.211) C22H28O3 cos=0.874,0.874
97732,328.1873485,7.177748156,CAPSAICIN as [M+Na]+ (328.188) C18H27NO3 cos=0.850,0.85
14635,470.4195573,8.592343676,Cer-NP t28:0 as [M-H]- (470.421) C28H57NO4 cos=0.756,0.756
21826,470.4195999,6.691698033,Cer-NP t28:0 as [M-H]- (470.421) C28H57NO4 cos=0.844,0.844
5823,498.4507766,8.967554823,Cer-NP t30:0 as [M-H]- (498.453) C30H61NO4 cos=0.719,0.719
10147,526.4824111,9.454988701,Cer-NP t32:0 as [M-H]- (526.484) C32H65NO4 cos=0.706,0.706
1358,255.0658406,4.755189796,Chrysin as [M+H]+ (255.065) C15H10O4 cos=0.837,0.837
1151,343.2949614,4.878615108,CocamidopropylBetaine as [M+H]+ (343.296) C19H38N2O3 cos=0.844,0.844
3248,147.0438732,2.953988139,Coumarin as [M+H]+ (147.044) C9H6O2 cos=0.774,0.774
9666,281.1278695,2.99634354,cyclopeptine as [M+H]+ (281.128) C17H16N2O2 cos=0.899,0.899
2067,202.2164337,4.111963221,DDAO as [M+H]+ (202.216) C12H27NO cos=0.992,0.992
1873,197.0807973,4.552638994,Decarestrictine F as [M+H]+ (197.08) C10H12O4 cos=0.913,0.913
772,192.1379362,4.708820065,DEET as [M+H]+ (192.138) C12H17NO cos=0.995,0.995
24801,300.2315799,7.330938626,Dehydroabietamide as [M+H]+ (300.232) C20H29NO cos=0.715,0.715
82735,199.1691152,6.042189641,delta-Dodecalactone as [M+H]+ (199.169) C12H22O2 cos=0.727,0.727
59302,199.1690685,7.802644073,delta-Dodecalactone as [M+H]+ (199.169) C12H22O2 cos=0.884,0.884
2068,213.1231452,2.260495464,DETHIOBIOTIN as [M-H]- (213.124) C10H18N2O3 cos=0.703,0.703
30022,333.2029165,7.409489039,dihydroalbocycline as [M+Na]+ (333.204) C18H30O4 cos=0.848,0.848
1434,167.1428598,4.936716529,Dihydrojasmone as [M+H]+ (167.143) C11H18O cos=0.741,0.741
9534,167.142818,5.336468302,Dihydrojasmone as [M+H]+ (167.143) C11H18O cos=0.866,0.866
367,279.1586058,6.663357263,Di-n-butyl phthalate as [M+H]+ (279.159) C16H22O4 cos=0.845,0.845
736,391.2831601,8.410586184,Dioctyl Phthalate as [M+H]+ (391.284) C24H38O4 cos=0.904,0.904
1650,170.0960672,0.351263644,Diphenylamine as [M+H]+ (170.096) C12H11N cos=0.927,0.927
24371,170.096139,5.693834076,Diphenylamine as [M+H]+ (170.096) C12H11N cos=0.957,0.957
378,282.2785471,8.404988545,Dodemorph as [M+H]+ (282.279) C18H35NO cos=0.732,0.732
15870,282.2785783,8.354258511,Dodemorph as [M+H]+ (282.279) C18H35NO cos=0.759,0.759
13,282.2786762,7.483657156,Dodemorph as [M+H]+ (282.279) C18H35NO cos=0.814,0.814
16176,220.117413,0.35747702,D-Pantothenic Acid as [M+H]+ (220.118) C9H17NO5 cos=0.857,0.857
30472,220.1174334,0.44667274,D-Pantothenic Acid as [M+H]+ (220.118) C9H17NO5 cos=0.882,0.882
1398,200.1278782,2.462889501,Ecgonine-methyl-ester (EME) as [M+H]+ (200.128) C10H17NO3 cos=0.824,0.824
24988,175.0863104,2.254475563,Edaravone (MCI-186) as [M+H]+ (175.087) C10H10N2O cos=0.844,0.844
13882,306.1079521,2.303149733,Entacapone as [M+H]+ (306.108) C14H15N3O5 cos=0.814,0.814
3,338.3409421,8.408091801,Erucamide as [M+H]+ (338.342) C22H43NO cos=0.923,0.923
1407,218.1538,4.5640754,Ethoxyquin as [M+H]+ (218.154) C14H19NO cos=0.953,0.953
191,194.1173074,5.376740675,Ethyl-4-dimethylaminobenzoate as [M+H]+ (194.118) C11H15NO2 cos=0.748,0.748
16005,152.0563646,1.113937684,Guanine as [M+H]+ (152.057) C5H5N5O cos=0.831,0.831
14595,152.0564911,2.007855496,Guanine as [M+H]+ (152.057) C5H5N5O cos=0.905,0.905
9722,152.0563179,0.45638868,Guanine as [M+H]+ (152.057) C5H5N5O cos=0.925,0.925
21689,599.2860171,4.947886481,Hematoporphyrin_I as [M+H]+ (599.287) C34H38N4O6 cos=0.797,0.797
249,283.1745407,2.591827484,Hexaethylene glycol as [M+H]+ (283.175) C12H26O7 cos=0.786,0.786
31985,137.0456417,1.117866008,Hypoxanthine as [M+H]+ (137.046) C5H4N4O cos=0.963,0.963
14797,137.0456167,0.950672308,Hypoxanthine as [M+H]+ (137.046) C5H4N4O cos=0.974,0.974
3703,137.0455729,0.49927021,Hypoxanthine as [M+H]+ (137.046) C5H4N4O cos=0.983,0.983
35701,263.0815819,5.135406681,Indigo Carmine as [M+H]+ (263.082) C16H10N2O2 cos=0.864,0.864
9180,162.0547113,3.089938671,Indole-3-carboxylic acid as [M+H]+ (162.055) C9H7NO2 cos=0.708,0.708
1413,204.124077,2.874406179,Isopentenyladenine as [M+H]+ (204.125) C10H13N5 cos=0.901,0.901
30361,331.1651383,6.180661232,Isoxaben as [M-H]- (331.166) C18H24N2O4 cos=0.952,0.952
26825,180.0516232,2.003882788,Isoxanthopterin as [M+H]+ (180.052) C6H5N5O2 cos=0.864,0.864
486,315.1948511,6.042284412,Kahweol as [M+H]+ (315.195) C20H26O3 cos=0.772,0.772
350,288.2526095,5.606881378,Lauryl diethanolamide as [M+H]+ (288.253) C16H33NO3 cos=0.962,0.962
1287,288.2529354,4.765842418,Lauryl diethanolamide as [M+H]+ (288.253) C16H33NO3 cos=0.967,0.967
4846,473.2387955,3.350897037,Linagliptin (BI-1356) as [M+H]+ (473.241) C25H28N8O2 cos=0.752,0.752
2149,284.1102886,2.614333101,Lotaustralin as [M+Na]+ (284.11) C11H19NO6 cos=0.775,0.775
22275,187.0861405,4.126967794,L-Oxonoreleagnine as [M+H]+ (187.087) C11H10N2O cos=0.817,0.817
14475,178.1223959,4.94978013,Mephedrone as [M+H]+ (178.123) C11H15NO cos=0.787,0.787
9660,309.1302963,5.079792073,"methyl 2-ethyl-4-[(3R,4R,5S)-5-hydroxy-4,5-dimethyl-2-oxooxolan-3-yl]-2-methyl-3-oxobutanoate as [M+Na]+ (309.131) C14H22O6 cos=0.795",0.795
859,305.0989026,2.568799875,"methyl 3-(3,4-dihydroxy-5-phenyloxolan-2-yl)-3-hydroxypropanoate as [M+Na]+ (305.1) C14H18O6 cos=0.739",0.739
30916,184.1330298,2.285073761,Methyprylon as [M+H]+ (184.133) C10H17NO2 cos=0.836,0.836
30803,268.1915277,7.134754075,Metoprolol as [M+H]+ (268.191) C15H25NO3 cos=0.796,0.796
650,254.1746993,4.45381484,MPL-dm as [M+H]+ (254.175) C14H23NO3 cos=0.703,0.703
32884,254.1746926,4.479339294,MPL-dm as [M+H]+ (254.175) C14H23NO3 cos=0.703,0.703
9844,150.0911887,2.798619883,"N-(2,4-dimethylphenyl)formamide as [M+H]+ (150.091) C9H11NO cos=0.741",0.741
9268,163.1226717,2.497135678,"N'-(2,4-Dimethylphenyl)-N-methylformamidine as [M+H]+ (163.123) C10H14N2 cos=0.905",0.905
593,230.2474557,4.652588161,"N,N-Dimethyldodecylamine N-oxide as [M+H]+ (230.248) C14H31NO cos=0.961",0.961
9462,189.1228832,0.665958815,N6-Acetyl-L-lysine as [M+H]+ (189.123) C8H16N2O3 cos=0.770,0.77
9727,336.1658794,3.263661415,N6-Isopentenyladenosine as [M+H]+ (336.166) C15H21N5O4 cos=0.981,0.981
14417,217.1292896,0.392410062,N-Acetylarginine as [M+H]+ (217.13) C8H16N4O3 cos=0.909,0.909
76143,217.1292668,0.358716783,N-Acetylarginine as [M+H]+ (217.13) C8H16N4O3 cos=0.909,0.909
14411,190.0705691,0.720070535,N-Acetylglutamic acid as [M+H]+ (190.071) C7H11NO5 cos=0.950,0.95
24349,190.0705726,0.622187069,N-Acetylglutamic acid as [M+H]+ (190.071) C7H11NO5 cos=0.961,0.961
11021,316.0995075,1.143225923,N-Acetylmuramic Acid as [M+Na]+ (316.1) C11H19NO8 cos=0.869,0.869
19576,316.0995186,0.813057863,N-Acetylmuramic Acid as [M+Na]+ (316.1) C11H19NO8 cos=0.895,0.895
26540,316.0995243,0.818233766,N-Acetylmuramic Acid as [M+Na]+ (316.1) C11H19NO8 cos=0.895,0.895
11272,208.0966818,3.165018328,N-Acetylphenylalanine as [M+H]+ (208.097) C11H13NO3 cos=0.708,0.708
63676,148.0601607,0.568393943,N-Acetylserine as [M+H]+ (148.06) C5H9NO4 cos=0.823,0.823
488,175.1073122,0.344793393,N-alpha-Acetyl-L-ornithine as [M+H]+ (175.108) C7H14N2O3 cos=0.893,0.893
21384,275.1999638,5.037876514,Nandrolone as [M+H]+ (275.2) C18H26O2 cos=0.869,0.869
29902,318.2054518,5.325148403,Nateglinide (Starlix) as [M+H]+ (318.206) C19H27NO3 cos=0.788,0.788
9496,214.0894215,4.828697169,N-butylbenzenesulphonamide as [M+H]+ (214.09) C10H15NO2S cos=0.917,0.917
21572,330.2058949,4.166022107,NCGC00160245-01!HETISINE as [M+H]+ (330.207) C20H27NO3 cos=0.791,0.791
25915,330.2054896,6.963283016,NCGC00160245-01!HETISINE as [M+H]+ (330.207) C20H27NO3 cos=0.813,0.813
6247,211.1438432,2.541059538,"NCGC00169428-03!3-(2-methylpropyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione as [M+H]+ (211.144) C11H18N2O2 cos=0.786",0.786
9774,307.0968385,2.933882128,"NCGC00180137-02!(3S)-8-hydroxy-3-methyl-3,4-dihydro-2H-benzo[a]anthracene-1,7,12-trione as [M+H]+ (307.096) C19H14O4 cos=0.729",0.729
1127,313.2729256,7.520845341,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate as [M-H2O+H]+ (313.273) C19H38O4 cos=0.917",0.917
6182,342.2061978,3.832929726,"NCGC00347382-02!(2E,8E)-9-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylnona-2,8-dien-1-one as [M+H]+ (342.206) C21H27NO3 cos=0.798",0.798
70251,384.2170476,4.025763515,"NCGC00347551-02_C23H31NO5_(2R,2'R,4a'S,6'S,7'R,8a'S)-4,6',7'-Trihydroxy-2',5',5',8a'-tetramethyl-3',4',4a',5',6',7,7',8,8',8a'-decahydro-2'H-spiro[furo[2,3-e]isoindole-2,1'-naphthalen]-6(3H)-one as [M-H2O+H]+ (384.216) C23H31NO5 cos=0.710",0.71
8231,316.2263675,6.628552459,"NCGC00380344-01!(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide as [M+H]+ (316.227) C20H29NO2 cos=0.797",0.797
46158,316.2266439,8.909767063,"NCGC00380344-01!(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide as [M+H]+ (316.227) C20H29NO2 cos=0.807",0.807
30368,316.2267256,8.995760419,"NCGC00380344-01!(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide as [M+H]+ (316.227) C20H29NO2 cos=0.829",0.829
82710,316.2258128,7.123936561,"NCGC00380344-01!(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide as [M+H]+ (316.227) C20H29NO2 cos=0.829",0.829
30289,316.2266757,8.104880849,"NCGC00380344-01!(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide as [M+H]+ (316.227) C20H29NO2 cos=0.847",0.847
6,387.1795258,5.121813296,"NCGC00380363-01!8-(2,3-dihydroxy-3-methylbutyl)-5,7-dimethoxy-2-phenyl-2,3-dihydrochromen-4-one as [M+H]+ (387.18) C22H26O6 cos=0.771",0.771
1170,209.1533462,6.258103537,"NCGC00380942-01_C13H20O2_1H-Indene-3-carboxylic acid, 3a,4,5,6,7,7a-hexahydro-3a,7,7-trimethyl- as [M+H]+ (209.154) C13H20O2 cos=0.766",0.766
470,209.1533296,5.763109285,"NCGC00380942-01_C13H20O2_1H-Indene-3-carboxylic acid, 3a,4,5,6,7,7a-hexahydro-3a,7,7-trimethyl- as [M+H]+ (209.154) C13H20O2 cos=0.769",0.769
9440,339.1544766,2.669106748,NCGC00381117-01!2-amino-4-hydroxy-5-[[1-(4-methoxy-6-oxopyran-2-yl)-3-methylbutyl]amino]-5-oxopentanoic acid as [M-H2O+H]+ (339.154) C16H24N2O7 cos=0.794,0.794
2895,387.2548224,7.225524603,"NCGC00381250-01!5-[12-(3,5-dihydroxyphenyl)dodecyl]benzene-1,3-diol as [M+H]+ (387.253) C24H34O4 cos=0.926",0.926
13788,197.1281759,3.039058008,"NCGC00381364-01!3-propan-2-yl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione as [M+H]+ (197.128) C10H16N2O2 cos=0.769",0.769
9411,317.1721206,5.700734834,"NCGC00381398-01_C17H26O4_6-[(2E,4E)-4,6-Dimethyl-2,4-octadienoyl]-2,3-dihydroxy-2-methylcyclohexanone as [M+Na]+ (317.172) C17H26O4 cos=0.888",0.888
220,155.070041,3.329263731,"NCGC00381399-01!4-hydroxy-3,5,6-trimethylpyran-2-one as [M+H]+ (155.07) C8H10O3 cos=0.779",0.779
