GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""350"",""main.cluster index_upperinput"":""350""}",Lauric acid diethanolamide,0.989058,5.6069,5.6069,0,CCMSLIB00003708492,19166.5446,147,350,136,147,288.2526,1,288.2526,19166.5446,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4892"",""main.cluster index_upperinput"":""4892""}",Spectral Match to Decaethylene glycol from NIST14,0.988793,7.5754,7.5754,0,CCMSLIB00003136855,2349.57506,81,4892,30,81,459.2791,1,459.2791,2349.57506,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14019"",""main.cluster index_upperinput"":""14019""}",Tyr-Ile,0.987455,2.5459,2.5459,0,CCMSLIB00003737828,9942.031693,145,14019,96,145,295.1646,1,295.1646,9942.031693,"InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10176"",""main.cluster index_upperinput"":""10176""}",Trp-Leu,0.98736,3.0282,3.0282,0,CCMSLIB00003737855,8209.847999,145,10176,641,145,318.1807,1,318.1807,8209.847999,"InChI=1S/C17H23N3O3/c1-10(2)7-15(17(22)23)20-16(21)13(18)8-11-9-19-14-6-4-3-5-12(11)14/h3-6,9-10,13,15,19H,7-8,18H2,1-2H3,(H,20,21)(H,22,23)/t13-,15-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10460"",""main.cluster index_upperinput"":""10460""}",Tyr-Ile,0.987128,2.5203,2.5203,0,CCMSLIB00003737828,9555.800463,145,10460,96,145,295.1646,1,295.1646,9555.800463,"InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""87347"",""main.cluster index_upperinput"":""87347""}",Arg-Leu,0.986473,2.2253,2.2253,0,CCMSLIB00003736763,4991.659352,142,87347,93,142,288.2025,1,288.2025,4991.659352,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4279"",""main.cluster index_upperinput"":""4279""}",Spectral Match to Nonaethylene glycol from NIST14,0.985287,7.3335,7.3335,0,CCMSLIB00003138197,1951.20313,97,4279,30,97,415.2532,1,415.2532,1951.20313,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3587"",""main.cluster index_upperinput"":""3587""}",Pentaethylene glycol,0.984971,7.3773,7.3773,0,CCMSLIB00003440922,1040.532915,133,3587,30,133,239.1486,1,239.1486,1040.532915,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13983"",""main.cluster index_upperinput"":""13983""}",Trp-Trp,0.984689,3.2784,3.2784,0,CCMSLIB00003196685,4435.264316,145,13983,641,145,391.1756,1,391.1756,4435.264316,"InChI=1S/C22H22N4O3/c23-17(9-13-11-24-18-7-3-1-5-15(13)18)21(27)26-20(22(28)29)10-14-12-25-19-8-4-2-6-16(14)19/h1-8,11-12,17,20,24-25H,9-10,23H2,(H,26,27)(H,28,29)/t17-,20-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9386"",""main.cluster index_upperinput"":""9386""}",N-3-Hydroxydecanoyl-L-homoserine lactone,0.984453,4.5514,4.5514,0,CCMSLIB00003547435,5711.086527,146,9386,164,146,272.1853,1,272.1853,5711.086527,"InChI=1S/C14H25NO4/c1-2-3-4-5-6-7-11(16)10-13(17)15-12-8-9-19-14(12)18/h11-12,16H,2-10H2,1H3,(H,15,17)/t11?,12-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24516"",""main.cluster index_upperinput"":""24516""}",ADENOSINE,0.984435,0.8489,0.8489,0,CCMSLIB00000578029,8403.881049,143,24516,96,143,268.1035,1,268.1035,8403.881049,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25144"",""main.cluster index_upperinput"":""25144""}",5'-S-Methyl-5'-thioadenosine,0.983738,3.3998,3.3998,0,CCMSLIB00003458571,1593.429312,143,25144,96,143,298.0968,1,298.0968,1593.429312,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3162"",""main.cluster index_upperinput"":""3162""}",Pentaethylene glycol,0.983247,7.6361,7.6361,0,CCMSLIB00003440922,1463.959211,136,3162,30,136,239.1482,1,239.1482,1463.959211,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21689"",""main.cluster index_upperinput"":""21689""}",Hematoporphyrin,0.983182,4.9479,4.9479,0,CCMSLIB00003454067,2598.187282,118,21689,21,118,599.286,1,599.286,2598.187282,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""530"",""main.cluster index_upperinput"":""530""}",cis-11-Eicosenoic acid,0.983168,7.9862,7.9862,0,CCMSLIB00003479341,6616.027642,147,530,188,147,293.2833,1,293.2833,6616.027642,"InChI=1S/C20H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10H,2-8,11-19H2,1H3,(H,21,22)/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""912"",""main.cluster index_upperinput"":""912""}",Tris(2-butoxyethyl) phosphate,0.981885,6.5532,6.5532,0,CCMSLIB00003265640,6560.546889,147,912,-1,147,399.2504,1,399.2504,6560.546889,"InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""241"",""main.cluster index_upperinput"":""241""}",Pentaethylene glycol,0.981091,2.4224,2.4224,0,CCMSLIB00003440922,13169.03998,147,241,30,147,239.1487,1,239.1487,13169.03998,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13831"",""main.cluster index_upperinput"":""13831""}",Acetyl coenzyme A,0.980642,2.8989,2.8989,0,CCMSLIB00003393449,16569.42847,144,13831,409,144,303.1367,1,303.1367,16569.42847,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24609"",""main.cluster index_upperinput"":""24609""}",16-Hydroxyhexadecanoic acid,0.979329,7.5081,7.5081,0,CCMSLIB00003527392,3163.148641,147,24609,188,147,219.2104,1,219.2104,3163.148641,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9563"",""main.cluster index_upperinput"":""9563""}",Spectral Match to Leu-Leu from NIST14,0.979301,2.7453,2.7453,0,CCMSLIB00003134648,17632.45543,146,9563,96,146,245.1856,1,245.1856,17632.45543,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5204"",""main.cluster index_upperinput"":""5204""}",Spectral Match to Undecaethylene glycol from NIST14,0.978345,7.4826,7.4826,0,CCMSLIB00003136774,1781.863683,113,5204,30,113,503.3048,1,503.3048,1781.863683,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""32896"",""main.cluster index_upperinput"":""32896""}",Tyr-Pro,0.976916,2.174,2.174,0,CCMSLIB00003726911,3843.09238,144,32896,588,144,279.1333,1,279.1333,3843.09238,"InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)/t11-,12-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9176"",""main.cluster index_upperinput"":""9176""}",N-3-Hydroxyoctanoyl-L-homoserine lactone,0.976722,3.6299,3.6299,0,CCMSLIB00003416977,28035.9383,146,9176,164,146,244.154,1,244.154,28035.9383,"InChI=1S/C12H21NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h9-10,14H,2-8H2,1H3,(H,13,15)/t9?,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""185"",""main.cluster index_upperinput"":""185""}",Oleic acid methyl ester,0.976553,7.4764,7.4764,0,CCMSLIB00003627930,31991.70408,147,185,188,147,265.2521,1,265.2521,31991.70408,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3712"",""main.cluster index_upperinput"":""3712""}",Spectral Match to Val-Leu from NIST14,0.976522,2.3203,2.3203,0,CCMSLIB00003139580,9126.114131,146,3712,96,146,231.17,1,231.17,9126.114131,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""22907"",""main.cluster index_upperinput"":""22907""}",N-3-Hydroxyoctanoyl-L-homoserine lactone,0.976355,3.6437,3.6437,0,CCMSLIB00003416977,28115.83311,146,22907,164,146,244.154,1,244.154,28115.83311,"InChI=1S/C12H21NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h9-10,14H,2-8H2,1H3,(H,13,15)/t9?,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9853"",""main.cluster index_upperinput"":""9853""}",Tyr-Pro,0.976012,2.174,2.174,0,CCMSLIB00003726911,3927.753143,144,9853,588,144,279.1334,1,279.1334,3927.753143,"InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)/t11-,12-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24468"",""main.cluster index_upperinput"":""24468""}",Hematoporphyrin,0.975425,4.9431,4.9431,0,CCMSLIB00003454114,2572.575057,129,24468,-1,129,599.2929,2,300.1465,2572.575057,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""15684"",""main.cluster index_upperinput"":""15684""}",Arg-Leu,0.974381,2.5406,2.5406,0,CCMSLIB00003736763,1309.978103,143,15684,93,143,288.2024,1,288.2024,1309.978103,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""203"",""main.cluster index_upperinput"":""203""}",cis-13-Docosenoic acid,0.974223,8.4084,8.4084,0,CCMSLIB00003721916,20233.11754,147,203,188,147,303.3039,1,303.3039,20233.11754,"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3677"",""main.cluster index_upperinput"":""3677""}",Ile-Pro-Ile,0.970822,3.0404,3.0404,0,CCMSLIB00003186375,5090.609113,145,3677,-1,145,342.2381,1,342.2381,5090.609113,"InChI=1S/C17H31N3O4/c1-5-10(3)13(18)16(22)20-9-7-8-12(20)15(21)19-14(17(23)24)11(4)6-2/h10-14H,5-9,18H2,1-4H3,(H,19,21)(H,23,24)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24434"",""main.cluster index_upperinput"":""24434""}",Palmitoleic acid ethyl ester,0.970659,7.5076,7.5076,0,CCMSLIB00003354430,7963.439571,147,24434,188,147,237.2209,1,237.2209,7963.439571,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h9-10H,3-8,11-17H2,1-2H3/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1634"",""main.cluster index_upperinput"":""1634""}",D-Desthiobiotin,0.970658,3.0358,3.0358,0,CCMSLIB00003654177,13049.26621,145,1634,-1,145,215.1386,1,215.1386,13049.26621,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19434"",""main.cluster index_upperinput"":""19434""}",Arg-Leu,0.970179,2.2018,2.2018,0,CCMSLIB00003736763,4988.442363,142,19434,93,142,288.2025,1,288.2025,4988.442363,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13801"",""main.cluster index_upperinput"":""13801""}",D-PANTOTHENIC ACID,0.970011,2.1766,2.1766,0,CCMSLIB00000578020,19031.10575,146,13801,-1,146,220.118,1,220.118,19031.10575,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19268"",""main.cluster index_upperinput"":""19268""}",Yersiniabactin,0.970002,5.0511,5.0511,0,CCMSLIB00005435756,650239.0564,147,19268,49,147,482.1234,1,482.1234,650239.0564, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9688"",""main.cluster index_upperinput"":""9688""}",Spectral Match to Phe-Ala from NIST14,0.969555,2.0917,2.0917,0,CCMSLIB00003139969,4767.109374,144,9688,536,144,237.1229,1,237.1229,4767.109374,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9887"",""main.cluster index_upperinput"":""9887""}",p-Acetaminobenzoic acid,0.96924,2.6575,2.6575,0,CCMSLIB00003315145,1253.698694,147,9887,1830,147,180.0657,1,180.0657,1253.698694,"InChI=1S/C9H9NO3/c1-6(11)10-8-4-2-7(3-5-8)9(12)13/h2-5H,1H3,(H,10,11)(H,12,13)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""249"",""main.cluster index_upperinput"":""249""}",Spectral Match to Hexaethylene glycol from NIST14,0.968718,2.5918,2.5918,0,CCMSLIB00003134614,8516.937908,147,249,30,147,283.1745,1,283.1745,8516.937908,N/A
