GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""16453"",""main.cluster index_upperinput"":""16453""}",Biliverdin,0.907874,5.1113,5.1113,0,CCMSLIB00004691160,3362.692094,74,16453,-1,74,-579.2398,-1,581.2398,3362.692094,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/b24-13-,27-14-,28-15-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10922"",""main.cluster index_upperinput"":""10922""}",Val-Trp,0.907174,2.6936,2.6936,0,CCMSLIB00003732866,2930.861722,128,10922,244,128,-300.1506,-1,302.1506,2930.861722,"InChI=1S/C16H21N3O3/c1-9(2)14(17)15(20)19-13(16(21)22)7-10-8-18-12-6-4-3-5-11(10)12/h3-6,8-9,13-14,18H,7,17H2,1-2H3,(H,19,20)(H,21,22)/t13-,14+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""137"",""main.cluster index_upperinput"":""137""}",AZELAIC ACID,0.905124,3.4798,3.4798,0,CCMSLIB00000578346,18755.17454,132,137,166,132,-185.0973,-1,187.0973,18755.17454,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4154"",""main.cluster index_upperinput"":""4154""}",Leu-Pro,0.897091,2.3362,2.3362,0,CCMSLIB00003738215,2994.824906,129,4154,-1,129,227.1398,1,227.1398,2994.824906,"InChI=1S/C11H20N2O3/c1-7(2)6-8(12)10(14)13-5-3-4-9(13)11(15)16/h7-9H,3-6,12H2,1-2H3,(H,15,16)/t8-,9-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""385"",""main.cluster index_upperinput"":""385""}",2-Isopropylmalic acid,0.894811,2.483,2.483,0,CCMSLIB00003453340,35776.96336,132,385,245,132,175.0609,1,175.0609,35776.96336,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7080"",""main.cluster index_upperinput"":""7080""}",Ile-Ile,0.885585,2.7453,2.7453,0,CCMSLIB00003735833,14538.0503,130,7080,102,130,243.1709,1,243.1709,14538.0503,"InChI=1S/C12H24N2O3/c1-5-7(3)9(13)11(15)14-10(12(16)17)8(4)6-2/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t7-,8-,9-,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""20489"",""main.cluster index_upperinput"":""20489""}",6.alpha.-Mannobiose,0.884098,11.0824,11.0824,0,CCMSLIB00003695751,11825.41246,132,20489,11,132,161.0453,1,161.0453,11825.41246,"InChI=1S/C12H22O11/c13-1-4(15)7(17)8(18)5(16)3-22-12-11(21)10(20)9(19)6(2-14)23-12/h1,4-12,14-21H,2-3H2/t4-,5-,6-,7-,8-,9-,10+,11+,12+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5257"",""main.cluster index_upperinput"":""5257""}",D-Gluconic acid,0.881091,0.3434,0.3434,0,CCMSLIB00003643223,43344.5278,132,5257,498,132,177.04,1,177.04,43344.5278,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7021"",""main.cluster index_upperinput"":""7021""}",Folic acid,0.865847,2.616,2.616,0,CCMSLIB00003351778,4478.461562,123,7021,-1,123,-309.0893,-1,311.0893,4478.461562,"InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3426"",""main.cluster index_upperinput"":""3426""}",D-Gluconic acid,0.865411,0.3372,0.3372,0,CCMSLIB00003169339,239733.5195,128,3426,9,128,195.0507,1,195.0507,239733.5195,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""16581"",""main.cluster index_upperinput"":""16581""}",Coproporphyrin I,0.844206,4.7945,4.7945,0,CCMSLIB00003470835,2364.279615,119,16581,41,119,-651.2614,-1,653.2614,2364.279615,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""7109"",""main.cluster index_upperinput"":""7109""}",Phe-Trp,0.83766,3.1569,3.1569,0,CCMSLIB00003732529,4392.256438,129,7109,244,129,-348.1505,-1,350.1505,4392.256438,"InChI=1S/C20H21N3O3/c21-16(10-13-6-2-1-3-7-13)19(24)23-18(20(25)26)11-14-12-22-17-9-5-4-8-15(14)17/h1-9,12,16,18,22H,10-11,21H2,(H,23,24)(H,25,26)/t16-,18-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5345"",""main.cluster index_upperinput"":""5345""}",Trp-Leu,0.837281,3.0719,3.0719,0,CCMSLIB00003735529,6939.024205,129,5345,244,129,316.166,1,316.166,6939.024205,"InChI=1S/C17H23N3O3/c1-10(2)7-15(17(22)23)20-16(21)13(18)8-11-9-19-14-6-4-3-5-12(11)14/h3-6,9-10,13,15,19H,7-8,18H2,1-2H3,(H,20,21)(H,22,23)/t13-,15-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""44049"",""main.cluster index_upperinput"":""44049""}",D-Psicose,0.79359,1.6912,1.6912,0,CCMSLIB00003665009,60831.1436,132,44049,11,132,161.0453,1,161.0453,60831.1436,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13471"",""main.cluster index_upperinput"":""13471""}",Chemotatic Peptide,0.772206,4.0719,4.0719,0,CCMSLIB00003734076,337.6631035,107,13471,-1,107,-434.1904,-1,436.1904,337.6631035,"InChI=1S/C21H31N3O5S/c1-14(2)11-17(23-19(26)16(22-13-25)9-10-30-3)20(27)24-18(21(28)29)12-15-7-5-4-6-8-15/h4-8,13-14,16-18H,9-12H2,1-3H3,(H,22,25)(H,23,26)(H,24,27)(H,28,29)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14892"",""main.cluster index_upperinput"":""14892""}",(-)-Catechin,0.740254,2.6371,2.6371,0,CCMSLIB00003421786,6462.304419,66,14892,38,66,-577.144,-1,579.144,6462.304419,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""482"",""main.cluster index_upperinput"":""482""}",4'-Hydroxy-4-methoxy-2'-methylchalcone,0.704845,4.8625,4.8625,0,CCMSLIB00003310505,4145.211654,132,482,323,132,-265.1023,-1,267.1023,4145.211654,"InChI=1S/C17H16O3/c1-12-11-14(18)6-9-16(12)17(19)10-5-13-3-7-15(20-2)8-4-13/h3-11,18H,1-2H3/b10-5+"
