A,f.value,p.value,#NAME?,FDR,Fisher's LSD
N-ACETYL-D-TRYPTOPHAN,28.325,1.13E-09,8.9483,2.49E-09,Bt - Cv; Bt - Ps; Cv - Ps
N-ACETYL-DL-GLUTAMIC ACID,18.184,4.72E-07,6.3259,8.47E-07,Cv - Bt; Ps - Bt; Cv - Ps
N-ACETYL-DL-SERINE/O-ACETYL-L-SERINE_neg,26.454,3.18E-09,8.4981,6.87E-09,Bt - Cv; Ps - Bt; Ps - Cv
N-ACETYL-DL-SERINE/O-ACETYL-L-SERINE_pos,11.393,5.40E-05,4.2673,8.60E-05,Bt - Cv; Ps - Bt; Ps - Cv
N-ACETYL-L-ALANINE,87.605,1.52E-19,18.818,8.90E-19,Cv - Bt; Ps - Bt; Cv - Ps
N-ACETYL-L-ASPARTIC ACID,4.1358,0.020181,1.695,0.02591,Cv - Bt; Bt - Ps; Cv - Ps
N-ACETYL-L-LEUCINE,64.331,2.08E-16,15.681,9.21E-16,Cv - Bt; Ps - Bt; Cv - Ps
N-ACETYL-L-PHENYLALANINE,38.675,6.07E-12,11.217,1.70E-11,Cv - Bt; Ps - Bt; Cv - Ps
N-ACETYLGLYCINE,27.277,2.01E-09,8.6979,4.38E-09,Bt - Cv; Ps - Bt; Ps - Cv
N-ACETYLPUTRESCINE,19.849,1.62E-07,6.7898,3.05E-07,Cv - Bt; Ps - Bt; Cv - Ps
N-Alpha-acetyllysine_neg,42.337,1.14E-12,11.943,3.60E-12,Cv - Bt; Ps - Bt; Cv - Ps
N-Alpha-acetyllysine_pos,31.94,1.66E-10,9.7809,4.07E-10,Cv - Bt; Ps - Bt; Cv - Ps
N6-delta2-Isopentenyl-adenine_neg,18.683,3.42E-07,6.4665,6.29E-07,Cv - Bt; Ps - Bt; Ps - Cv
N6-delta2-Isopentenyl-adenine_pos,17.536,7.22E-07,6.1414,1.27E-06,Cv - Bt; Ps - Bt; Cv - Ps
O-SUCCINYL-L-HOMOSERINE,97.458,1.08E-20,19.968,6.69E-20,Cv - Bt; Ps - Bt; Cv - Ps
OCTOPAMINE,5.5833,0.0056869,2.2451,0.0076986,Cv - Bt; Bt - Ps; Cv - Ps
OROTATE,4.5058,0.014535,1.8376,0.018905,Bt - Cv; Ps - Bt; Ps - Cv
PANTOLACTONE,13.522,1.14E-05,4.9442,1.89E-05,Bt - Cv; Bt - Ps; Cv - Ps
PHENETHYLAMINE,1.2007,0.30727,0.51247,0.33783,Bt - Cv; Bt - Ps; Cv - Ps
PHENYLPYRUVATE,99.063,7.12E-21,20.148,4.72E-20,Cv - Bt; Ps - Bt; Ps - Cv
PIPECOLATE,0.88713,0.41655,0.38033,0.44328,Bt - Cv; Ps - Bt; Ps - Cv
proline_neg,6.4565,0.0027081,2.5673,0.0037686,Bt - Cv; Ps - Bt; Ps - Cv
proline_pos,2.0192,0.14065,0.85187,0.16464,Bt - Cv; Ps - Bt; Ps - Cv
PYRIDOXAL_neg,12.051,3.31E-05,4.4799,5.33E-05,Cv - Bt; Bt - Ps; Cv - Ps
PYRIDOXAL_pos,16.921,1.09E-06,5.9642,1.88E-06,Cv - Bt; Bt - Ps; Cv - Ps
PYRIDOXAMINE,0.30645,0.73706,0.13249,0.74835,Cv - Bt; Ps - Bt; Cv - Ps
PYRIDOXINE_neg,62.14,4.48E-16,15.349,1.90E-15,Bt - Cv; Ps - Bt; Ps - Cv
PYRIDOXINE_pos,81.934,7.71E-19,18.113,3.84E-18,Bt - Cv; Ps - Bt; Ps - Cv
PYRROLE-2-CARBOXYLATE,6.8406,0.0019641,2.7068,0.002772,Bt - Cv; Bt - Ps; Ps - Cv
PYRUVATE,55.348,5.41E-15,14.267,2.11E-14,Cv - Bt; Ps - Bt; Ps - Cv
QUINATE,24.459,9.94E-09,8.0026,2.04E-08,Cv - Bt; Ps - Bt; Ps - Cv
RIBITOL/XYLITOL,36.758,1.51E-11,10.822,4.16E-11,Cv - Bt; Ps - Bt; Cv - Ps
RIBOFLAVIN_neg,0.67334,0.51337,0.28957,0.52933,Bt - Cv; Bt - Ps; Cv - Ps
RIBOFLAVIN_pos,1.8085,0.17169,0.76526,0.19864,Cv - Bt; Ps - Bt; Ps - Cv
S-Adenosylhomocysteine,17.087,9.72E-07,6.0122,1.70E-06,Cv - Bt; Bt - Ps; Cv - Ps
SALICYLATE/3-HYDROXYBENZOATE,82.474,6.58E-19,18.182,3.36E-18,Bt - Cv; Ps - Bt; Ps - Cv
SN-GLYCERO-3-PHOSPHOCHOLINE,0.13341,0.87534,0.057826,0.87976,Bt - Cv; Bt - Ps; Ps - Cv
SORBATE,1.2206,0.30144,0.52079,0.33326,Bt - Cv; Bt - Ps; Cv - Ps
SUCCINATE,76.334,4.15E-18,17.382,2.01E-17,Cv - Bt; Ps - Bt; Cv - Ps
sucrose,0.65881,0.52074,0.28338,0.53416,Bt - Cv; Ps - Bt; Ps - Cv
TAURINE,54.793,6.69E-15,14.175,2.51E-14,Bt - Cv; Bt - Ps; Ps - Cv
THYMIDINE_neg,492.26,3.54E-41,40.451,7.05E-39,Bt - Cv; Ps - Bt; Ps - Cv
THYMIDINE_pos,177.27,1.06E-27,26.974,1.51E-26,Cv - Bt; Ps - Bt; Ps - Cv
THYMINE_neg,85.021,3.16E-19,18.501,1.74E-18,Cv - Bt; Bt - Ps; Cv - Ps
THYMINE_pos,323.93,1.74E-35,34.759,5.78E-34,Cv - Bt; Ps - Bt; Ps - Cv
TRANS-CINNAMATE,49.093,6.39E-14,13.195,2.23E-13,Bt - Cv; Bt - Ps; Cv - Ps
TRIGONELLINE,87.092,1.76E-19,18.756,9.98E-19,Bt - Cv; Bt - Ps; Ps - Cv
URACIL,21.233,6.85E-08,7.1644,1.32E-07,Cv - Bt; Ps - Bt; Ps - Cv
URATE,33.877,6.19E-11,10.208,1.60E-10,Bt - Cv; Bt - Ps; Ps - Cv
URIDINE,18.644,3.50E-07,6.4555,6.40E-07,Cv - Bt; Bt - Ps; Cv - Ps
UROCANATE_neg,9.2999,0.00026899,3.5703,0.00040553,Cv - Bt; Ps - Bt; Cv - Ps
UROCANATE_pos,14.026,7.95E-06,5.0998,1.34E-05,Cv - Bt; Ps - Bt; Cv - Ps
valine/L-NORVALINE_neg,49.162,6.21E-14,13.207,2.21E-13,Bt - Cv; Ps - Bt; Ps - Cv
valine/L-NORVALINE_pos,1.3025,0.27856,0.55509,0.31142,Cv - Bt; Ps - Bt; Ps - Cv
vanillic acid,65.087,1.61E-16,15.794,7.26E-16,Bt - Cv; Bt - Ps; Ps - Cv
vanillin,29.386,6.35E-10,9.1974,1.46E-09,Cv - Bt; Ps - Bt; Ps - Cv
XANTHINE_neg,103.94,2.09E-21,20.68,1.49E-20,Cv - Bt; Ps - Bt; Cv - Ps
XANTHINE_pos,4.5451,0.014039,1.8527,0.01838,Cv - Bt; Ps - Bt; Cv - Ps
XANTHOSINE,25.148,6.67E-09,8.1758,1.41E-08,Cv - Bt; Bt - Ps; Cv - Ps
XYLITOL/L-ARABITOL,120.03,4.91E-23,22.309,5.14E-22,Bt - Cv; Ps - Bt; Ps - Cv
