libraryName	SampleId	rawReads	filteredReads	sampleName	conditionNumber	Condition	BioRep	timepoint	sequencerType	runType	fileUsed	Run
BXOAS	150667	46282058	41322488	2mem_Bt_Cv_35hr_BR4	4	Chromo	four	D-thfv	HiSeq-2500 1TB	2x101	11792.1.219881.TATTCGC-GGCGAAT.filter-MICROTRANS.fastq.gz	11792.1.219881.TATTCGC-GGCGAAT.filter-MICROTRANS-genome
BXOAG	150662	36254114	34109484	3mem_Bt_35hr_BR4	16	3mem	four	D-thfv	HiSeq-2500 1TB	2x101	11765.7.217995.TAACCGG-ACCGGTT.filter-MICROTRANS.fastq.gz	11765.7.217995.TAACCGG-ACCGGTT.filter-MICROTRANS-genome
BXOAP	150666	36985400	35395702	2mem_Bt_Cv_30hr_BR4	3	Chromo	four	C-thr	HiSeq-2500 1TB	2x101	11765.7.217995.AGAAGCG-ACGCTTC.filter-MICROTRANS.fastq.gz	11765.7.217995.AGAAGCG-ACGCTTC.filter-MICROTRANS-genome
BXNZB	150645	37469216	34488860	2mem_Bt_Cv_25hr_BR3	2	Chromo	three	B-twf	HiSeq-2500 1TB	2x101	11792.1.219881.GTTCAAC-GGTTGAA.filter-MICROTRANS.fastq.gz	11792.1.219881.GTTCAAC-GGTTGAA.filter-MICROTRANS-genome
BXNZW	150655	39085646	37491274	Bt_mono_25hr_BR3	20	Mono	three	B-twf	HiSeq-2500 1TB	2x101	11792.1.219881.TAGTGAC-GGTCACT.filter-MICROTRANS.fastq.gz	11792.1.219881.TAGTGAC-GGTCACT.filter-MICROTRANS-genome
BXNWW	150610	42148164	40590746	2mem_Bt_Ps_25hr_BR1	8	Pseudo	one	B-twf	HiSeq-2500 1TB	2x101	11792.1.219881.GGACTGT-AACAGTC.filter-MICROTRANS.fastq.gz	11792.1.219881.GGACTGT-AACAGTC.filter-MICROTRANS-genome
BXNXY	150627	38382448	35362268	2mem_Bt_Cv_35hr_BR2	4	Chromo	two	D-thfv	HiSeq-2500 1TB	2x101	11792.1.219881.ATTGAGC-GGCTCAA.filter-MICROTRANS.fastq.gz	11792.1.219881.ATTGAGC-GGCTCAA.filter-MICROTRANS-genome
BXNZS	150652	39149386	37373888	2mem_Bt_Ps_35hr_BR3	10	Pseudo	three	D-thfv	HiSeq-2500 1TB	2x101	11765.6.217984.ATGCCTG-ACAGGCA.filter-MICROTRANS.fastq.gz	11765.6.217984.ATGCCTG-ACAGGCA.filter-MICROTRANS-genome
BXNZX	150656	34898372	31622752	Bt_mono_30hr_BR3	21	Mono	three	C-thr	HiSeq-2500 1TB	2x101	11765.6.217984.TGGCATG-ACATGCC.filter-MICROTRANS.fastq.gz	11765.6.217984.TGGCATG-ACATGCC.filter-MICROTRANS-genome
BXNXT	150623	42361416	40050878	3mem_Bt_40hr_BR2	17	3mem	two	E-frt	HiSeq-2500 1TB	2x101	11792.1.219881.TTCGTAC-GGTACGA.filter-MICROTRANS.fastq.gz	11792.1.219881.TTCGTAC-GGTACGA.filter-MICROTRANS-genome
BXNZC	150646	38838164	36613934	2mem_Bt_Cv_30hr_BR3	3	Chromo	three	C-thr	HiSeq-2500 1TB	2x101	11765.6.217984.CAGAGTG-ACACTCT.filter-MICROTRANS.fastq.gz	11765.6.217984.CAGAGTG-ACACTCT.filter-MICROTRANS-genome
BXNWP	150606	43360960	41475750	2mem_Bt_Cv_30hr_BR1	3	Chromo	one	C-thr	HiSeq-2500 1TB	2x101	11765.7.217995.CCAGTGT-AACACTG.filter-MICROTRANS.fastq.gz	11765.7.217995.CCAGTGT-AACACTG.filter-MICROTRANS-genome
BXNZZ	150658	32837764	31191328	Bt_mono_40hr_BR3	23	Mono	three	E-frt	HiSeq-2500 1TB	2x101	11765.7.217995.TGCTTGG-ACCAAGC.filter-MICROTRANS.fastq.gz	11765.7.217995.TGCTTGG-ACCAAGC.filter-MICROTRANS-genome
BXNZH	150648	37927544	33911240	2mem_Bt_Cv_40hr_BR3	5	Chromo	three	E-frt	HiSeq-2500 1TB	2x101	11765.6.217984.ACCTCTG-ACAGAGG.filter-MICROTRANS.fastq.gz	11765.6.217984.ACCTCTG-ACAGAGG.filter-MICROTRANS-genome
BXNZT	150653	39366924	36100842	2mem_Bt_Ps_40hr_BR3	11	Pseudo	three	E-frt	HiSeq-2500 1TB	2x101	11792.1.219881.GAAGTAC-GGTACTT.filter-MICROTRANS.fastq.gz	11792.1.219881.GAAGTAC-GGTACTT.filter-MICROTRANS-genome
BXOBG	150677	38951712	35633536	Bt_mono_35hr_BR4	22	Mono	four	D-thfv	HiSeq-2500 1TB	2x101	11792.2.219892.CTCGATA-GTATCGA.filter-MICROTRANS.fastq.gz	11792.2.219892.CTCGATA-GTATCGA.filter-MICROTRANS-genome
BXNYC	150631	45050954	43778234	2mem_Bt_Ps_30hr_BR2	9	Pseudo	two	C-thr	HiSeq-2500 1TB	2x101	11792.2.219892.TGACTGA-GTCAGTC.filter-MICROTRANS.fastq.gz	11792.2.219892.TGACTGA-GTCAGTC.filter-MICROTRANS-genome
BXOAZ	150673	39549244	37488610	2mem_Bt_Ps_40hr_BR4	11	Pseudo	four	E-frt	HiSeq-2500 1TB	2x101	11792.2.219892.CACCTTA-GTAAGGT.filter-MICROTRANS.fastq.gz	11792.2.219892.CACCTTA-GTAAGGT.filter-MICROTRANS-genome
BXNYA	150629	54508332	50826326	2mem_Bt_Cv_45hr_BR2	6	Chromo	two	F-frtf	HiSeq-2500 1TB	2x101	11792.2.219892.CAATCGA-GTCGATT.filter-MICROTRANS.fastq.gz	11792.2.219892.CAATCGA-GTCGATT.filter-MICROTRANS-genome
BXNWZ	150613	43787766	41641812	2mem_Bt_Ps_40hr_BR1	11	Pseudo	one	E-frt	HiSeq-2500 1TB	2x101	11792.2.219892.ACAGCAA-GTTGCTG.filter-MICROTRANS.fastq.gz	11792.2.219892.ACAGCAA-GTTGCTG.filter-MICROTRANS-genome
BXNWY	150612	36480874	34791000	2mem_Bt_Ps_35hr_BR1	10	Pseudo	one	D-thfv	HiSeq-2500 1TB	2x101	11792.2.219892.GTTCGGT-AACCGAA.filter-MICROTRANS.fastq.gz	11792.2.219892.GTTCGGT-AACCGAA.filter-MICROTRANS-genome
BXNYH	150633	37291648	34076344	2mem_Bt_Ps_40hr_BR2	11	Pseudo	two	E-frt	HiSeq-2500 1TB	2x101	11792.2.219892.ACGATGA-GTCATCG.filter-MICROTRANS.fastq.gz	11792.2.219892.ACGATGA-GTCATCG.filter-MICROTRANS-genome
BXNYP	150636	32212892	30803658	Bt_mono_30hr_BR2	21	Mono	two	C-thr	HiSeq-2500 1TB	2x101	11765.5.217973.AGAGCCT-AAGGCTC.filter-MICROTRANS.fastq.gz	11765.5.217973.AGAGCCT-AAGGCTC.filter-MICROTRANS-genome
BXNZA	150644	36202888	33047020	3mem_Bt_45hr_BR3	18	3mem	three	F-frtf	HiSeq-2500 1TB	2x101	11765.6.217984.CACGTTG-ACAACGT.filter-MICROTRANS.fastq.gz	11765.6.217984.CACGTTG-ACAACGT.filter-MICROTRANS-genome
BXNZO	150650	40328418	38838584	2mem_Bt_Ps_25hr_BR3	8	Pseudo	three	B-twf	HiSeq-2500 1TB	2x101	11765.6.217984.CTTGCTG-ACAGCAA.filter-MICROTRANS.fastq.gz	11765.6.217984.CTTGCTG-ACAGCAA.filter-MICROTRANS-genome
BXNWN	150604	35715728	29930400	3mem_Bt_45hr_BR1	18	3mem	one	F-frtf	HiSeq-2500 1TB	2x101	11765.6.217984.GCCTTGT-AACAAGG.filter-MICROTRANS.fastq.gz	11765.6.217984.GCCTTGT-AACAAGG.filter-MICROTRANS-genome
BXNYU	150639	40697292	38000372	Bt_mono_45hr_BR2	24	Mono	two	F-frtf	HiSeq-2500 1TB	2x101	11792.1.219881.AGAATGC-GGCATTC.filter-MICROTRANS.fastq.gz	11792.1.219881.AGAATGC-GGCATTC.filter-MICROTRANS-genome
BXOBB	150675	37707474	36157518	Bt_mono_25hr_BR4	20	Mono	four	B-twf	HiSeq-2500 1TB	2x101	11765.8.218006.GTGAATC-GGATTCA.filter-MICROTRANS.fastq.gz	11765.8.218006.GTGAATC-GGATTCA.filter-MICROTRANS-genome
BXOAY	150672	36186466	34934372	2mem_Bt_Ps_35hr_BR4	10	Pseudo	four	D-thfv	HiSeq-2500 1TB	2x101	11765.8.218006.TTGGACG-ACGTCCA.filter-MICROTRANS.fastq.gz	11765.8.218006.TTGGACG-ACGTCCA.filter-MICROTRANS-genome
BXNWT	150608	41240954	33166066	2mem_Bt_Cv_40hr_BR1	5	Chromo	one	E-frt	HiSeq-2500 1TB	2x101	11765.8.218006.TCGCTGT-AACAGCG.filter-MICROTRANS.fastq.gz	11765.8.218006.TCGCTGT-AACAGCG.filter-MICROTRANS-genome
BXOBH	150678	46064616	43654216	Bt_mono_40hr_BR4	23	Mono	four	E-frt	HiSeq-2500 1TB	2x101	11765.8.218006.CGTTGAG-ACTCAAC.filter-MICROTRANS.fastq.gz	11765.8.218006.CGTTGAG-ACTCAAC.filter-MICROTRANS-genome
BXOBA	150674	38611506	36793602	2mem_Bt_Ps_45hr_BR4	12	Pseudo	four	F-frtf	HiSeq-2500 1TB	2x101	11765.8.218006.ACCGTAG-ACTACGG.filter-MICROTRANS.fastq.gz	11765.8.218006.ACCGTAG-ACTACGG.filter-MICROTRANS-genome
BXNYY	150642	38937124	37346914	3mem_Bt_35hr_BR3	16	3mem	three	D-thfv	HiSeq-2500 1TB	2x101	11765.5.217973.CGACCAT-AATGGTC.filter-MICROTRANS.fastq.gz	11765.5.217973.CGACCAT-AATGGTC.filter-MICROTRANS-genome
BYZOX	150682	40905362	38057714	2mem_Bt_Ps_12.5hr_BR1	7	Pseudo	one	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.TACGCCT-AAGGCGT.filter-MICROTRANS.fastq.gz	11888.2.225343.TACGCCT-AAGGCGT.filter-MICROTRANS-genome
BXOAO	150665	45256132	42609472	2mem_Bt_Cv_25hr_BR4	2	Chromo	four	B-twf	HiSeq-2500 1TB	2x101	11792.4.219914.AAGAGCC-TGGCTCT.filter-MICROTRANS.fastq.gz	11792.4.219914.AAGAGCC-TGGCTCT.filter-MICROTRANS-genome
BXOAC	150661	57530586	55753764	3mem_Bt_30hr_BR4	15	3mem	four	C-thr	HiSeq-2500 1TB	2x101	11792.4.219914.CCAAGCA-TTGCTTG.filter-MICROTRANS.fastq.gz	11792.4.219914.CCAAGCA-TTGCTTG.filter-MICROTRANS-genome
BXNZY	150657	48457006	45000788	Bt_mono_35hr_BR3	22	Mono	three	D-thfv	HiSeq-2500 1TB	2x101	11792.4.219914.CACTGAC-TGTCAGT.filter-MICROTRANS.fastq.gz	11792.4.219914.CACTGAC-TGTCAGT.filter-MICROTRANS-genome
BXOBC	150676	38495568	35448880	Bt_mono_30hr_BR4	21	Mono	four	C-thr	HiSeq-2500 1TB	2x101	11765.8.218006.GCGATAG-ACTATCG.filter-MICROTRANS.fastq.gz	11765.8.218006.GCGATAG-ACTATCG.filter-MICROTRANS-genome
BXNYO	150635	30853868	28553514	Bt_mono_25hr_BR2	20	Mono	two	B-twf	HiSeq-2500 1TB	2x101	11765.8.218006.AGTAGTC-GGACTAC.filter-MICROTRANS.fastq.gz	11765.8.218006.AGTAGTC-GGACTAC.filter-MICROTRANS-genome
BXNWS	150607	44531950	37981598	2mem_Bt_Cv_35hr_BR1	4	Chromo	one	D-thfv	HiSeq-2500 1TB	2x101	11765.7.217995.TGTACAC-GGTGTAC.filter-MICROTRANS.fastq.gz	11765.7.217995.TGTACAC-GGTGTAC.filter-MICROTRANS-genome
BXOAB	150660	39846048	35879516	3mem_Bt_25hr_BR4	14	3mem	four	B-twf	HiSeq-2500 1TB	2x101	11765.7.217995.TTGTCGG-ACCGACA.filter-MICROTRANS.fastq.gz	11765.7.217995.TTGTCGG-ACCGACA.filter-MICROTRANS-genome
BXOAT	150668	43094326	41172284	2mem_Bt_Cv_40hr_BR4	5	Chromo	four	E-frt	HiSeq-2500 1TB	2x101	11765.7.217995.TGTACCG-ACGGTAC.filter-MICROTRANS.fastq.gz	11765.7.217995.TGTACCG-ACGGTAC.filter-MICROTRANS-genome
BXOAN	150664	37690492	34449136	3mem_Bt_45hr_BR4	18	3mem	four	F-frtf	HiSeq-2500 1TB	2x101	11765.7.217995.GTCTAGG-ACCTAGA.filter-MICROTRANS.fastq.gz	11765.7.217995.GTCTAGG-ACCTAGA.filter-MICROTRANS-genome
BXOAW	150670	42183764	40380712	2mem_Bt_Ps_25hr_BR4	8	Pseudo	four	B-twf	HiSeq-2500 1TB	2x101	11765.7.217995.CCATACG-ACGTATG.filter-MICROTRANS.fastq.gz	11765.7.217995.CCATACG-ACGTATG.filter-MICROTRANS-genome
BXNYS	150637	38067602	35694450	Bt_mono_35hr_BR2	22	Mono	two	D-thfv	HiSeq-2500 1TB	2x101	11765.8.218006.TCTCTTC-GGAAGAG.filter-MICROTRANS.fastq.gz	11765.8.218006.TCTCTTC-GGAAGAG.filter-MICROTRANS-genome
BXOAH	150663	45490878	41691586	3mem_Bt_40hr_BR4	17	3mem	four	E-frt	HiSeq-2500 1TB	2x101	11792.4.219914.ATGGTCC-TGGACCA.filter-MICROTRANS.fastq.gz	11792.4.219914.ATGGTCC-TGGACCA.filter-MICROTRANS-genome
BXNZG	150647	48574860	47065200	2mem_Bt_Cv_35hr_BR3	4	Chromo	three	D-thfv	HiSeq-2500 1TB	2x101	11792.4.219914.GGATACC-TGGTATC.filter-MICROTRANS.fastq.gz	11792.4.219914.GGATACC-TGGTATC.filter-MICROTRANS-genome
BXNYX	150641	54478972	52017660	3mem_Bt_30hr_BR3	15	3mem	three	C-thr	HiSeq-2500 1TB	2x101	11792.4.219914.AGCAAGC-TGCTTGC.filter-MICROTRANS.fastq.gz	11792.4.219914.AGCAAGC-TGCTTGC.filter-MICROTRANS-genome
BXNZN	150649	42800128	41317124	2mem_Bt_Cv_45hr_BR3	6	Chromo	three	F-frtf	HiSeq-2500 1TB	2x101	11792.3.219903.TGGATCA-GTGATCC.filter-MICROTRANS.fastq.gz	11792.3.219903.TGGATCA-GTGATCC.filter-MICROTRANS-genome
BXNXB	150615	40829514	39085200	Bt_mono_25hr_BR1	20	Mono	one	B-twf	HiSeq-2500 1TB	2x101	11792.3.219903.TCATCAC-GGTGATG.filter-MICROTRANS.fastq.gz	11792.3.219903.TCATCAC-GGTGATG.filter-MICROTRANS-genome
BYZPB	150686	35946336	19354808	2mem_Bt_Ps_12.5hr_BR2	7	Pseudo	two	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.GAGGACT-AAGTCCT.filter-MICROTRANS.fastq.gz	11888.2.225343.GAGGACT-AAGTCCT.filter-MICROTRANS-genome
BXOBN	150679	46986972	45272468	Bt_mono_45hr_BR4	24	Mono	four	F-frtf	HiSeq-2500 1TB	2x101	11792.4.219914.TCACAGC-TGCTGTG.filter-MICROTRANS.fastq.gz	11792.4.219914.TCACAGC-TGCTGTG.filter-MICROTRANS-genome
BXNXG	150617	47860566	45693416	Bt_mono_35hr_BR1	22	Mono	one	D-thfv	HiSeq-2500 1TB	2x101	11792.4.219914.ACCATCC-TGGATGG.filter-MICROTRANS.fastq.gz	11792.4.219914.ACCATCC-TGGATGG.filter-MICROTRANS-genome
BYZOU	150680	31960450	29899980	3mem_Bt_12.5hr_BR1	13	3mem	one	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.GTCTCCT-AAGGAGA.filter-MICROTRANS.fastq.gz	11888.2.225343.GTCTCCT-AAGGAGA.filter-MICROTRANS-genome
BYZPG	150688	38119248	33633026	3mem_Bt_12.5hr_BR3	13	3mem	three	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.GCTGGAT-AATCCAG.filter-MICROTRANS.fastq.gz	11888.2.225343.GCTGGAT-AATCCAG.filter-MICROTRANS-genome
BYZOZ	150684	31344250	30176808	3mem_Bt_12.5hr_BR2	13	3mem	two	A-twh	HiSeq-2500 1TB	2x101	11888.2.225343.AGAGCCT-AAGGCTC.filter-MICROTRANS.fastq.gz	11888.2.225343.AGAGCCT-AAGGCTC.filter-MICROTRANS-genome
BYZOY	150683	42650318	41195044	Bt_mono_12.5hr_BR1	19	Mono	one	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.AGTAGTC-GGACTAC.filter-MICROTRANS.fastq.gz	11888.3.225354.AGTAGTC-GGACTAC.filter-MICROTRANS-genome
BYZPP	150692	35535312	15528014	3mem_Bt_12.5hr_BR4	13	3mem	four	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.CACGTTG-ACAACGT.filter-MICROTRANS.fastq.gz	11888.3.225354.CACGTTG-ACAACGT.filter-MICROTRANS-genome
BXNWU	150609	43377670	39353814	2mem_Bt_Cv_45hr_BR1	6	Chromo	one	F-frtf	HiSeq-2500 1TB	2x101	11765.8.218006.AGCTAAC-GGTTAGC.filter-MICROTRANS.fastq.gz	11765.8.218006.AGCTAAC-GGTTAGC.filter-MICROTRANS-genome
BXNYZ	150643	38212442	36016390	3mem_Bt_40hr_BR3	17	3mem	three	E-frt	HiSeq-2500 1TB	2x101	11792.2.219892.TCGGTTA-GTAACCG.filter-MICROTRANS.fastq.gz	11792.2.219892.TCGGTTA-GTAACCG.filter-MICROTRANS-genome
BXNXW	150625	38748966	36140442	2mem_Bt_Cv_25hr_BR2	2	Chromo	two	B-twf	HiSeq-2500 1TB	2x101	11792.2.219892.GTAACGA-GTCGTTA.filter-MICROTRANS.fastq.gz	11792.2.219892.GTAACGA-GTCGTTA.filter-MICROTRANS-genome
BXNXA	150614	36019294	34413066	2mem_Bt_Ps_45hr_BR1	12	Pseudo	one	F-frtf	HiSeq-2500 1TB	2x101	11792.3.219903.CGTAGGT-AACCTAC.filter-MICROTRANS.fastq.gz	11792.3.219903.CGTAGGT-AACCTAC.filter-MICROTRANS-genome
BXOAU	150669	38026344	34167074	2mem_Bt_Cv_45hr_BR4	6	Chromo	four	F-frtf	HiSeq-2500 1TB	2x101	11792.3.219903.AACGGTC-TGACCGT.filter-MICROTRANS.fastq.gz	11792.3.219903.AACGGTC-TGACCGT.filter-MICROTRANS-genome
BXNXP	150621	36643918	34070704	3mem_Bt_30hr_BR2	15	3mem	two	C-thr	HiSeq-2500 1TB	2x101	11792.3.219903.AGTCTCA-GTGAGAC.filter-MICROTRANS.fastq.gz	11792.3.219903.AGTCTCA-GTGAGAC.filter-MICROTRANS-genome
BXOAA	150659	41111054	39590606	Bt_mono_45hr_BR3	24	Mono	three	F-frtf	HiSeq-2500 1TB	2x101	11792.3.219903.CATACCA-GTGGTAT.filter-MICROTRANS.fastq.gz	11792.3.219903.CATACCA-GTGGTAT.filter-MICROTRANS-genome
BXOAX	150671	43975452	42193936	2mem_Bt_Ps_30hr_BR4	9	Pseudo	four	C-thr	HiSeq-2500 1TB	2x101	11792.3.219903.TTGAGGC-TGCCTCA.filter-MICROTRANS.fastq.gz	11792.3.219903.TTGAGGC-TGCCTCA.filter-MICROTRANS-genome
BXNZP	150651	43322786	40873586	2mem_Bt_Ps_30hr_BR3	9	Pseudo	three	C-thr	HiSeq-2500 1TB	2x101	11792.3.219903.GCCATAA-GTTATGG.filter-MICROTRANS.fastq.gz	11792.3.219903.GCCATAA-GTTATGG.filter-MICROTRANS-genome
BXNZU	150654	42521058	40222056	2mem_Bt_Ps_45hr_BR3	12	Pseudo	three	F-frtf	HiSeq-2500 1TB	2x101	11765.6.217984.CGAACTG-ACAGTTC.filter-MICROTRANS.fastq.gz	11765.6.217984.CGAACTG-ACAGTTC.filter-MICROTRANS-genome
BYZOW	150681	39585126	34352180	2mem_Bt_Cv_12.5hr_BR1	1	Chromo	one	A-twh	HiSeq-2500 1TB	2x101	11888.4.225365.ACGATGA-GTCATCG.filter-MICROTRANS.fastq.gz	11888.4.225365.ACGATGA-GTCATCG.filter-MICROTRANS-genome
BYZPC	150687	45582020	37573758	Bt_mono_12.5hr_BR2	19	Mono	two	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.AGAATGC-GGCATTC.filter-MICROTRANS.fastq.gz	11888.3.225354.AGAATGC-GGCATTC.filter-MICROTRANS-genome
BYZPT	150694	42281886	33961210	2mem_Bt_Ps_12.5hr_BR4	7	Pseudo	four	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.CAGAGTG-ACACTCT.filter-MICROTRANS.fastq.gz	11888.3.225354.CAGAGTG-ACACTCT.filter-MICROTRANS-genome
BYZPN	150690	40281340	35831186	2mem_Bt_Ps_12.5hr_BR3	7	Pseudo	three	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.CGACCAT-AATGGTC.filter-MICROTRANS.fastq.gz	11888.3.225354.CGACCAT-AATGGTC.filter-MICROTRANS-genome
BYZPA	150685	42845234	13060686	2mem_Bt_Cv_12.5hr_BR2	1	Chromo	two	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.TCTCTTC-GGAAGAG.filter-MICROTRANS.fastq.gz	11888.3.225354.TCTCTTC-GGAAGAG.filter-MICROTRANS-genome
BYZPH	150689	40601926	35243386	2mem_Bt_Cv_12.5hr_BR3	1	Chromo	three	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.AGCAAGC-TGCTTGC.filter-MICROTRANS.fastq.gz	11888.5.225376.AGCAAGC-TGCTTGC.filter-MICROTRANS-genome
BYZPU	150695	36995392	29992844	Bt_mono_12.5hr_BR4	19	Mono	four	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.GGATACC-TGGTATC.filter-MICROTRANS.fastq.gz	11888.5.225376.GGATACC-TGGTATC.filter-MICROTRANS-genome
BYZPS	150693	41155204	39110340	2mem_Bt_Cv_12.5hr_BR4	1	Chromo	four	A-twh	HiSeq-2500 1TB	2x101	11888.4.225365.GTTCAAC-GGTTGAA.filter-MICROTRANS.fastq.gz	11888.4.225365.GTTCAAC-GGTTGAA.filter-MICROTRANS-genome
BXNYT	150638	43127800	40838442	Bt_mono_40hr_BR2	23	Mono	two	E-frt	HiSeq-2500 1TB	2x101	11765.5.217973.GAGGACT-AAGTCCT.filter-MICROTRANS.fastq.gz	11765.5.217973.GAGGACT-AAGTCCT.filter-MICROTRANS-genome
BXNYG	150632	38337270	33388476	2mem_Bt_Ps_35hr_BR2	10	Pseudo	two	D-thfv	HiSeq-2500 1TB	2x101	11765.5.217973.GTCTCCT-AAGGAGA.filter-MICROTRANS.fastq.gz	11765.5.217973.GTCTCCT-AAGGAGA.filter-MICROTRANS-genome
BXNXC	150616	35514720	32432118	Bt_mono_30hr_BR1	21	Mono	one	C-thr	HiSeq-2500 1TB	2x101	11765.4.217962.TGTGCGT-AACGCAC.filter-MICROTRANS.fastq.gz	11765.4.217962.TGTGCGT-AACGCAC.filter-MICROTRANS-genome
BXNXS	150622	38009322	36707162	3mem_Bt_35hr_BR2	16	3mem	two	D-thfv	HiSeq-2500 1TB	2x101	11765.4.217962.CCTCAGT-AACTGAG.filter-MICROTRANS.fastq.gz	11765.4.217962.CCTCAGT-AACTGAG.filter-MICROTRANS-genome
BXNYN	150634	43190792	38458186	2mem_Bt_Ps_45hr_BR2	12	Pseudo	two	F-frtf	HiSeq-2500 1TB	2x101	11765.5.217973.TACGCCT-AAGGCGT.filter-MICROTRANS.fastq.gz	11765.5.217973.TACGCCT-AAGGCGT.filter-MICROTRANS-genome
BXNYB	150630	37176714	35311944	2mem_Bt_Ps_25hr_BR2	8	Pseudo	two	B-twf	HiSeq-2500 1TB	2x101	11765.5.217973.CCTTCCT-AAGGAAG.filter-MICROTRANS.fastq.gz	11765.5.217973.CCTTCCT-AAGGAAG.filter-MICROTRANS-genome
BXNYW	150640	33973880	32509316	3mem_Bt_25hr_BR3	14	3mem	three	B-twf	HiSeq-2500 1TB	2x101	11765.5.217973.GCTGGAT-AATCCAG.filter-MICROTRANS.fastq.gz	11765.5.217973.GCTGGAT-AATCCAG.filter-MICROTRANS-genome
BXNWG	150602	40408660	34409504	3mem_Bt_35hr_BR1	16	3mem	one	D-thfv	HiSeq-2500 1TB	2x101	11765.5.217973.CGGTTGT-AACAACC.filter-MICROTRANS.fastq.gz	11765.5.217973.CGGTTGT-AACAACC.filter-MICROTRANS-genome
